metabolite,refmet_id,super_class,main_class,chebi_id,chebi_all,pubchem_cid,inchi_key,kegg_id,platform_adipose,platform_blood,platform_muscle
Phthalic acid,RM0040270,Benzenoids,Benzoic acids,CHEBI:29069,CHEBI:29069,1017,XNGIFLGASWRNHJ-UHFFFAOYSA-N,C01606,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Pipecolic acid,RM0135981,Organic acids,Amino acids and peptides,CHEBI:30913,CHEBI:30913;CHEBI:61185,439227,HXEACLLIILLPRG-YFKPBYRVSA-N,C00408,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
Piperine,RM0043248,Alkaloids,Lysine alkaloids,CHEBI:28821,CHEBI:28821,638024,MXXWOMGUGJBKIW-YPCIICBESA-N,C03882,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Proline,RM0135899,Organic acids,Amino acids and peptides,CHEBI:17203,CHEBI:17203;CHEBI:60039,145742,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C00148,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
Proline betaine,RM0012987,Organic acids,Amino acids and peptides,CHEBI:35280,CHEBI:35280,115244,CMUNUTVVOOHQPW-LURJTMIESA-N,C10172,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Putrescine,RM0139715,Organic nitrogen compounds,Amines,CHEBI:17148,CHEBI:17148,1045,KIDHWZJUCRJVML-UHFFFAOYSA-N,C00134,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Pyroglutamic acid,RM0135924,Organic acids,Amino acids and peptides,CHEBI:18183,CHEBI:18183,7405,ODHCTXKNWHHXJC-VKHMYHEASA-N,C01879,metab-u-hilicpos,metab-u-rppos,metab-u-rppos
Pyruvic acid,RM0134967,Organic acids,Short-chain acids,CHEBI:32816,CHEBI:32816,1060,LCTONWCANYUPML-UHFFFAOYSA-N,C00022,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Retinoic acid,RM0135419,Prenol Lipids,Isoprenoids,CHEBI:15367,CHEBI:15367,444795,SHGAZHPCJJPHSC-YCNIQYBTSA-N,C00777,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
S-Methylcysteine S-oxide,RM0158491,Organic acids,Amino acids and peptides,CHEBI:157782,CHEBI:157782;CHEBI:746881,182092,ZZLHPCSGGOGHFW-BUKSALPDSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Sarcosine,RM0135925,Organic acids,Amino acids and peptides,CHEBI:15611,CHEBI:15611;CHEBI:57433,1088,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,C00213,metab-u-hilicpos,metab-t-amines,metab-t-amines
Sebacic acid,RM0153047,Fatty Acyls,Fatty acids,CHEBI:41865,CHEBI:41865,5192,CXMXRPHRNRROMY-UHFFFAOYSA-N,C08277,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Serine,RM0032433,Organic acids,Amino acids and peptides,CHEBI:17115,CHEBI:17115;CHEBI:33384,5951,MTCFGRXMJLQNBG-REOHCLBHSA-N,C00065,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/14:0,RM0135551,Sphingolipids,Phosphosphingolipids,CHEBI:64486,CHEBI:64486,11433862,KYICBZWZQPCUMO-PSALXKTOSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/14:1,RM0138769,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/15:0,RM0135554,Sphingolipids,Phosphosphingolipids,CHEBI:64485,CHEBI:64485,52931139,LQINJRUGTUOHGS-YPDYIYJKSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/16:0,RM0135543,Sphingolipids,Phosphosphingolipids,CHEBI:78646,CHEBI:78646,9939941,RWKUXQNLWDTSLO-GWQJGLRPSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/16:1,RM0134132,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/17:0,RM0162677,Sphingolipids,Phosphosphingolipids,CHEBI:84488,CHEBI:84488,46891763,YMQZQHIESOAPQH-JXGHDCMNSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/17:1,RM0058875,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/18:0,RM0135541,Sphingolipids,Phosphosphingolipids,CHEBI:83358,CHEBI:83358,6453725,LKQLRGMMMAHREN-YJFXYUILSA-N,C00550,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/18:1,RM0134125,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/18:3,RM0059418,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/19:0,RM0138872,Sphingolipids,Phosphosphingolipids,CHEBI:84485,CHEBI:84485,52931171,HAFQHLHNPJDAGB-MAJDXUCPSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/20:0,RM0135545,Sphingolipids,Phosphosphingolipids,CHEBI:83359,CHEBI:83359,44260124,AADLTHQNYQJHQV-SVLGDMRNSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/21:0,RM0135567,Sphingolipids,Phosphosphingolipids,CHEBI:84484,CHEBI:84484,52931193,YXSZOBWVQJIWNE-QVDCKBILSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/22:0,RM0138870,Sphingolipids,Phosphosphingolipids,CHEBI:74532,CHEBI:74532,44260125,FJJANLYCZUNFSE-TWKUQIQBSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/22:1,RM0134114,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/22:2,RM0163085,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 18:1;O2/22:3,RM0060120,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
SM 32:1;O2,RM0134150,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-rppos
SM 32:2;O2,RM0134093,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-rppos,metab-u-lrppos,metab-u-rppos
SM 34:1;O2,RM0134153,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
SM 34:2;O2,RM0134151,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-rppos
SM 35:1;O2,RM0059990,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-rppos,metab-u-lrpneg,metab-u-lrpneg
SM 36:1;O2,RM0134099,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-rppos,metab-u-lrpneg,metab-u-rppos
SM 36:2;O2,RM0134100,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-rppos,metab-u-lrpneg,metab-u-rppos
SM 36:3;O2,RM0134152,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-rppos,metab-u-lrppos,metab-u-rppos
SM 38:1;O2,RM0134157,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-rppos
SM 40:1;O2,RM0134155,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-lrppos,metab-u-lrpneg,metab-u-rppos
SM 40:2;O2,RM0122299,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-rppos
SM 41:1;O2,RM0120987,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrpneg
SM 42:1;O2,RM0134156,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrppos
SM 42:2;O2,RM0122625,Sphingolipids,Phosphosphingolipids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
sn-Glycero-3-phosphate,RM0160118,Organic acids,Organic phosphoric acids,CHEBI:15978,CHEBI:15978,439162,AWUCVROLDVIAJX-GSVOUGTGSA-N,C00093,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
sn-Glycero-3-phosphocholine,RM0110472,Organic acids,Organic phosphoric acids,CHEBI:16870,CHEBI:16870,657272,SUHOQUVVVLNYQR-MRVPVSSYSA-N,C00670,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Sphinganine,RM0135445,Sphingolipids,Sphingoid bases,CHEBI:16566,CHEBI:16566,91486,OTKJDMGTUTTYMP-ZWKOTPCHSA-N,C00836,metab-u-hilicpos,metab-u-rppos,metab-u-rppos
Sphingosine,RM0135443,Sphingolipids,Sphingoid bases,CHEBI:16393,CHEBI:16393,5280335,WWUZIQQURGPMPG-KRWOKUGFSA-N,C00319,metab-u-hilicpos,metab-u-rppos,metab-u-rppos
Sphingosine 1-phosphate,RM0138834,Sphingolipids,Sphingoid bases,CHEBI:37550,CHEBI:37550,5283560,DUYSYHSSBDVJSM-KRWOKUGFSA-N,C06124,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Stearic acid,RM0153574,Fatty Acyls,Fatty acids,CHEBI:28842,CHEBI:28842,5281,QIQXTHQIDYTFRH-UHFFFAOYSA-N,C01530,metab-u-rpneg,metab-u-lrpneg,metab-u-rpneg
Suberic acid,RM0134985,Fatty Acyls,Fatty acids,CHEBI:9300,CHEBI:9300,10457,TYFQFVWCELRYAO-UHFFFAOYSA-N,C08278,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Succinic acid,RM0134982,Organic acids,TCA acids,CHEBI:15741,CHEBI:15741,1110,KDYFGRWQOYBRFD-UHFFFAOYSA-N,C00042,metab-u-ionpneg,metab-t-tca,metab-u-ionpneg
Symmetric dimethylarginine,RM0012924,Organic acids,Amino acids and peptides,CHEBI:25682,CHEBI:25682;CHEBI:61914,169148,HVPFXCBJHIIJGS-LURJTMIESA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Taurine,RM0118223,Organic acids,Sulfonic acids,CHEBI:15891,CHEBI:15891;CHEBI:507393,1123,XOAAWQZATWQOTB-UHFFFAOYSA-N,C00245,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
Tetracosenoic acid,RM0139943,Fatty Acyls,Fatty acids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-rpneg
Tetradecadienoic acid,RM0140195,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-lrpneg,metab-u-rpneg
TG 16:0_16:0_18:0,RM0134320,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 16:0_16:0_18:1,RM0134321,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 16:0_18:1_18:2,RM0134340,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 16:0_18:1_22:4,RM0017957,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 16:0_18:2_20:4,RM0061010,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 16:1_18:2_18:2,RM0111179,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 18:0_18:1_22:6,RM0110794,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 18:1/18:1/18:1,RM0134295,Glycerolipids,Triradylglycerols,CHEBI:138472,CHEBI:138472,"","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 18:1_18:1_18:2,RM0113224,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 18:1_18:2_18:2,RM0016715,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 40:0,RM0028305,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 42:2,RM0062059,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 44:1,RM0112605,Glycerolipids,Triradylglycerols,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-lrppos
TG 44:2,RM0089970,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 44:3,RM0110447,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 46:0,RM0134258,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 46:2,RM0134217,Glycerolipids,Triradylglycerols,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-lrppos
TG 46:3,RM0062101,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 47:3,RM0015232,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 48:2,RM0134224,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 48:3,RM0065682,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 49:0,RM0065681,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 49:1,RM0134226,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 49:3,RM0134254,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 50:2,RM0138778,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 50:3,RM0134227,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 50:4,RM0134255,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 50:5,RM0110469,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 50:6,RM0070875,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 51:2,RM0134229,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 51:3,RM0134228,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 51:4,RM0116156,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 52:1,RM0062103,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 52:4,RM0134219,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 52:6,RM0134261,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 52:7,RM0134292,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 53:1,RM0083595,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 53:2,RM0025657,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 54:2,RM0116159,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 54:3,RM0134218,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 54:5,RM0134235,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 54:6,RM0062063,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 54:8,RM0024990,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 55:3,RM0134273,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 55:4,RM0110474,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 55:5,RM0134238,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 56:1,RM0116158,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 56:2,RM0134274,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 56:4,RM0110468,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 56:6,RM0110466,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 56:7,RM0134241,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 56:9,RM0134239,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 58:1,RM0116153,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 58:10,RM0134242,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 58:2,RM0086945,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 58:5,RM0134276,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 58:6,RM0134246,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 58:8,RM0134244,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
TG 58:9,RM0134243,Glycerolipids,Triradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
Threonine,RM0135900,Organic acids,Amino acids and peptides,CHEBI:16857,CHEBI:16857;CHEBI:57926,6288,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C00188,metab-u-hilicpos,metab-u-ionpneg,metab-u-ionpneg
Tributylamine,RM0018067,Organic nitrogen compounds,Amines,CHEBI:38905,CHEBI:38905,7622,IMFACGCPASFAPR-UHFFFAOYSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Tricosylic acid,RM0153578,Fatty Acyls,Fatty acids,CHEBI:42394,CHEBI:42394,17085,XEZVDURJDFGERA-UHFFFAOYSA-N,,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Tridecylamine,RM0149929,Organic nitrogen compounds,Amines,"","",40761,ABVVEAHYODGCLZ-UHFFFAOYSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Trigonelline,RM0136017,Alkaloids,Pyridine alkaloids,CHEBI:18123,CHEBI:18123,5570,WWNNZCOKKKDOPX-UHFFFAOYSA-N,C01004,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Trimethylamine N-oxide,RM0156066,Organic nitrogen compounds,Amine oxides,CHEBI:15724,CHEBI:15724,1145,UYPYRKYUKCHHIB-UHFFFAOYSA-N,C01104,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Tryptophan,RM0136024,Organic acids,Amino acids and peptides,CHEBI:16828,CHEBI:16828;CHEBI:57912,6305,QIVBCDIJIAJPQS-VIFPVBQESA-N,C00078,metab-u-hilicpos,metab-u-hilicpos,metab-u-rpneg
Tyrosine,RM0135896,Organic acids,Amino acids and peptides,CHEBI:17895,CHEBI:17895;CHEBI:58315,6057,OUYCCCASQSFEME-QMMMGPOBSA-N,C00082,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
UDP-glucose,RM0135928,Nucleic acids,Pyrimidines,CHEBI:167608,CHEBI:167608,53477679,HSCJRCZFDFQWRP-LPTOLDDLSA-N,C00029,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
UDP-glucuronic acid,RM0157921,Nucleic acids,Pyrimidines,CHEBI:17200,CHEBI:17200,17473,HDYANYHVCAPMJV-LXQIFKJMSA-N,C00167,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
UDP-N-acetylglucosamine,RM0133219,Nucleic acids,Pyrimidines,CHEBI:16264,CHEBI:16264,445675,LFTYTUAZOPRMMI-CFRASDGPSA-N,C00043,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
UMP,RM0135929,Nucleic acids,Pyrimidines,CHEBI:16695,CHEBI:16695,6030,DJJCXFVJDGTHFX-XVFCMESISA-N,C00105,metab-t-nuc,metab-u-ionpneg,metab-u-ionpneg
Undecanedioic acid,RM0139029,Fatty Acyls,Fatty acids,CHEBI:73713,CHEBI:73713,15816,LWBHHRRTOZQPDM-UHFFFAOYSA-N,,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Uric acid,RM0160856,Nucleic acids,Purines,CHEBI:17775,CHEBI:17775;CHEBI:46811;CHEBI:46814;CHEBI:46817;CHEBI:46823;CHEBI:62589,1175,LEHOTFFKMJEONL-UHFFFAOYSA-N,C00366,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
Uridine,RM0135933,Nucleic acids,Pyrimidines,CHEBI:16704,CHEBI:16704,6029,DRTQHJPVMGBUCF-XVFCMESISA-N,C00299,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Urocanic acid,RM0135935,Alkaloids,Histidine alkaloids,CHEBI:30817,CHEBI:30817,736715,LOIYMIARKYCTBW-OWOJBTEDSA-N,C00785,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
UTP,RM0160877,Nucleic acids,Pyrimidines,CHEBI:15713,CHEBI:15713,6133,PGAVKCOVUIYSFO-XVFCMESISA-N,C00075,metab-t-nuc,metab-u-ionpneg,metab-u-ionpneg
Valine,RM0136018,Organic acids,Amino acids and peptides,CHEBI:16414,CHEBI:16414;CHEBI:57762,6287,KZSNJWFQEVHDMF-BYPYZUCNSA-N,C00183,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
Xanthine,RM0135930,Nucleic acids,Purines,CHEBI:17712,CHEBI:17712;CHEBI:48517,1188,LRFVTYWOQMYALW-UHFFFAOYSA-N,C00385,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
