metabolite,refmet_id,super_class,main_class,chebi_id,chebi_all,pubchem_cid,inchi_key,kegg_id,platform_adipose,platform_blood,platform_muscle
N-Acetylleucine,RM0136362,Organic acids,Amino acids and peptides,CHEBI:17786,CHEBI:17786,70912,WXNXCEHXYPACJF-ZETCQYMHSA-N,C02710,metab-u-hilicpos,metab-u-rppos,metab-u-hilicpos
N-Acetylputrescine,RM0136156,Alkaloids,Ornithine alkaloids,CHEBI:17768,CHEBI:17768,122356,KLZGKIDSEJWEDW-UHFFFAOYSA-N,C02714,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
N1-Acetylspermidine,RM0053025,Alkaloids,Ornithine alkaloids,CHEBI:17927,CHEBI:17927,496,MQTAVJHICJWXBR-UHFFFAOYSA-N,C00612,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
NAD+,RM0133217,Nucleic acids,Nicotinamides,CHEBI:44215,CHEBI:44215,5892,BAWFJGJZGIEFAR-NNYOXOHSSA-N,C00003,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
NAGly 11:0,RM0153880,Fatty Acyls,Fatty amides,CHEBI:74438,CHEBI:74438,454092,HEUQYIQQCNOXOG-UHFFFAOYSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
NAGly 12:0,RM0021474,Fatty Acyls,Fatty amides,CHEBI:74441,CHEBI:74441,346152,JWGGSJFIGIGFSQ-UHFFFAOYSA-N,,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
Niacinamide,RM0156450,Alkaloids,Pyridine alkaloids,CHEBI:17154,CHEBI:17154,936,DFPAKSUCGFBDDF-UHFFFAOYSA-N,C00153,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
Nonadecenoic acid,RM0138767,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-lrpneg,metab-u-rpneg
Octadecadienoic acid,RM0137483,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Octadecatetraenoic acid,RM0151648,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-lrpneg,metab-u-rpneg
