"candidate_id","candidate_name","mapping_status","identity_resolved","source_object","tissue","assay","platform","evidence_layer","interpretation_scope","feature_id","matched_gene","contrast_type","contrast_category","Timepoint","logFC","CI.L_calculated","CI.R_calculated","p_value","adj_p_value","direction","review_direction","direction_comparison"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","Endur_vs_Resist","EE-RE","post_3.5_4_hr",-0.559798142049176,-1.21451078067283,0.0949144965744815,0.093638037913632,0.999699063875898,"down","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","exercise_with_controls","RE-CON","post_3.5_4_hr",-0.0685407910324978,-0.897129954885256,0.76004837282026,0.871011217478391,0.942107617113425,"down","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","Endur_vs_Resist","EE-RE","post_15_30_45_min",0.0977157846135492,-0.432699074563529,0.628130643790627,0.71763464236879,0.949938734003017,"up","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","exercise_with_controls","RE-CON","post_10_min",-0.287009588756515,-1.00657096032578,0.43255178281275,0.433747294295372,0.7598237570358,"down","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","exercise_with_controls","EE-CON","post_24_hr",-0.110017937063169,-0.999213084556848,0.779177210430509,0.808101975364929,0.999767340976767,"down","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","exercise_with_controls","EE-CON","during_20_min",-0.0896263887829547,-0.825352123825099,0.64609934625919,0.811001092533731,0.921076103875802,"down","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","exercise_with_controls","EE-CON","post_15_30_45_min",-0.052664685104441,-0.747513903042797,0.642184532833915,0.881724119573294,0.961149132516345,"down","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","exercise_with_controls","EE-CON","during_40_min",-0.337854872428638,-1.06417002477232,0.388460279915039,0.361333693767716,0.669962037235828,"down","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","Endur_vs_Resist","EE-RE","post_24_hr",0.265176142895421,-0.427938020893262,0.958290306684105,0.45274725275457,0.985437411518238,"up","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","exercise_with_controls","RE-CON","post_24_hr",-0.375194079958591,-1.25478795844081,0.504399798523628,0.402540899748368,0.899986541382097,"down","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","Endur_vs_Resist","EE-RE","post_10_min",0.716048436663741,0.164941059976627,1.26715581335085,0.0109646566763489,0.905811690413729,"up","up","not_applicable"
"T3_12","GDF15","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000130513.7","GDF15","exercise_with_controls","EE-CON","post_3.5_4_hr",-0.628338933081674,-1.50634558127995,0.249667715116601,0.160413076003179,0.434917912598946,"down","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","RE-CON","post_10_min",0.34881543918673,0.168591350845024,0.529039527528435,0.000158352890663172,0.00761206424766339,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","RE-CON","post_3.5_4_hr",0.310250935029841,0.0814705810316571,0.539031289028025,0.00794111263166118,0.0447800213949114,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","EE-CON","during_40_min",0.625882529906544,0.443347791938747,0.808417267874342,3.76862698726443e-11,5.40942919864264e-09,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","Endur_vs_Resist","EE-RE","post_10_min",0.345187866566104,0.194904299318619,0.49547143381359,7.72435275517683e-06,0.0498623493296921,"up","up","not_applicable"
