tissue,assay,platform,contrast,contrast_category,Timepoint,n_features,source_FDR_hits,max_BH_difference
blood,prot-ol,prot-ol,group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,RE-CON,post_3.5_4_hr,1417,47,8.15493506056697e-15
muscle,prot-pr,prot-pr,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,EE-CON,post_15_30_45_min,6211,1,6.661338147750939e-16
muscle,prot-pr,prot-pr,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,EE-RE,post_15_30_45_min,6211,0,3.730349362740526e-14
muscle,prot-pr,prot-pr,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,EE-CON,post_24_hr,6211,1,1.2045919817182948e-14
muscle,prot-pr,prot-pr,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,EE-RE,post_24_hr,6211,25,2.5153490401663703e-14
muscle,prot-pr,prot-pr,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,EE-CON,post_3.5_4_hr,6211,3,1.1948775302528247e-13
muscle,prot-pr,prot-pr,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,EE-RE,post_3.5_4_hr,6211,5,4.565792188770956e-14
muscle,prot-pr,prot-pr,group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,RE-CON,post_15_30_45_min,6211,0,9.836575998178887e-14
muscle,prot-pr,prot-pr,group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,RE-CON,post_24_hr,6211,21,2.7429447602145274e-14
muscle,prot-pr,prot-pr,group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,RE-CON,post_3.5_4_hr,6211,11,3.189115638235762e-14
muscle,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,EE-CON,post_15_30_45_min,16509,967,3.247836027897577e-15
muscle,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,EE-RE,post_15_30_45_min,16509,371,7.098488463697095e-15
muscle,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,EE-CON,post_24_hr,16509,1306,3.303780859997829e-15
muscle,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,EE-RE,post_24_hr,16509,3225,1.7208456881689926e-15
muscle,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,EE-CON,post_3.5_4_hr,16509,2308,1.942890293094024e-15
muscle,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,EE-RE,post_3.5_4_hr,16509,4498,1.5543122344752192e-15
muscle,transcript-rna-seq,transcript-rna-seq,group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,RE-CON,post_15_30_45_min,16509,879,3.701899897734506e-15
muscle,transcript-rna-seq,transcript-rna-seq,group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,RE-CON,post_24_hr,16509,3455,1.6653345369377348e-15
muscle,transcript-rna-seq,transcript-rna-seq,group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,RE-CON,post_3.5_4_hr,16509,5576,1.3877787807814457e-15
