exercise,time,within_arm_effect,within_arm_source_q,control_change,control_adjusted_effect,control_adjusted_source_q
EE,During 20 min,0.57919068997232,1.8353965055358802e-09,0.0110999999999998,0.56809068997232,0.0003644107465618
EE,During 40 min,0.51665260444113,1.75049472974061e-07,-0.0438916666666669,0.560544271107797,0.0002274167727112
EE,Post 10 min,0.355762118543749,0.000448950925822,0.053975,0.301787118543749,0.260529079496838
EE,Post 30 min,0.206154504688571,0.280212710143234,-0.0219583333333329,0.228112838021904,0.486348189620916
EE,Post 3.5 h,0.293487749077491,0.208887774924865,0.059403070694587,0.234084678382904,0.840104135438625
EE,Post 24 h,0.300503084079028,0.232135135068657,0.150779595016067,0.149723489062961,0.986437074865836
RE,Post 10 min,0.210856651890685,0.02419550533336,0.053975,0.156881651890685,0.548752985009452
RE,Post 30 min,0.0936722222222229,0.522444016427194,-0.0219583333333329,0.115630555555556,0.595238737377178
RE,Post 3.5 h,0.144010113661337,0.589294561531176,0.059403070694587,0.08460704296675,0.962028136058094
RE,Post 24 h,0.0866787040746086,0.889007159774775,0.150779595016067,-0.0641008909414583,0.791810102255092
